Mat,R,ARI
KnuggetChase3_0.1_100_auto,KnuggetChase3_512_TRUE_auto_def,0.9303138118773162
KnuggetChase3_LOF_100_auto,KnuggetChase3_512_TRUE_auto_def,0.9018303261448897
KnuggetChase3_0.05_100_auto,KnuggetChase3_512_TRUE_auto_def,0.6577071156518141
KnuggetChase3_0.1_128_auto,KnuggetChase3_512_TRUE_auto_def,0.9231060511849069
KnuggetChase3_0.1_64_auto,KnuggetChase3_512_TRUE_auto_def,0.9203413303414891
KnuggetChase3_0.1_100_1.0,KnuggetChase3_512_TRUE_auto_def,0.9244957256829213
KnuggetChase3_0.1_100_0.5,KnuggetChase3_512_TRUE_auto_def,0.9266981752803649
KnuggetChase3_0.1_100_auto,KnuggetChase3_256_TRUE_auto_def,0.9366231441611622
KnuggetChase3_LOF_100_auto,KnuggetChase3_256_TRUE_auto_def,0.8948253142979469
KnuggetChase3_0.05_100_auto,KnuggetChase3_256_TRUE_auto_def,0.6398591478967155
KnuggetChase3_0.1_128_auto,KnuggetChase3_256_TRUE_auto_def,0.9380183329104608
KnuggetChase3_0.1_64_auto,KnuggetChase3_256_TRUE_auto_def,0.9129432427592153
KnuggetChase3_0.1_100_1.0,KnuggetChase3_256_TRUE_auto_def,0.9491735175643745
KnuggetChase3_0.1_100_1.0,KnuggetChase3_128_TRUE_auto_def,0.925159621294637
KnuggetChase3_0.1_128_1.0,KnuggetChase3_128_TRUE_auto_def,0.9278478796969861
KnuggetChase3_0.1_100_auto,KnuggetChase3_128_TRUE_auto_def,0.9224750916224456
KnuggetChase3_0.1_128_1.0,KnuggetChase3_256_TRUE_auto_def,0.9334481516244424
CastMetal1_0.1_100_auto,CastMetal1_512_TRUE_auto_def,0.8264106106916406
CastMetal1_IF_100_auto,CastMetal1_512_TRUE_auto_def,0.8287137054808883
CastMetal1_0.15_100_auto,CastMetal1_512_TRUE_auto_def,0.5838263499950661
CastMetal1_IF_128_auto,CastMetal1_512_TRUE_auto_def,0.8287137054808883
CastMetal1_IF_256_auto,CastMetal1_512_TRUE_auto_def,0.8287137054808883
CastMetal1_IF_512_auto,CastMetal1_512_TRUE_auto_def,0.8287137054808883
CastMetal1_IF_512_1,CastMetal1_512_TRUE_auto_def,0.8287137054808883
CastMetal1_IF_512_0.5,CastMetal1_512_TRUE_auto_def,0.8287137054808883
CastMetal1_IF_512_0.2,CastMetal1_512_TRUE_auto_def,0.7777479998147265
CastMetal1_IF_512_0.5,CastMetal1_256_TRUE_auto_def,0.7783777567248029
CastMetal1_IF_512_auto,CastMetal1_256_TRUE_auto_def,0.7783777567248029
