Filename,Method,OutlierFraction,NumTrials,BiasCorrection,NumOGKIterations,UnivariateEstimator,ReweightingMethod,NumConcentrationSteps,StartMethod,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
CastMetal1,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
